track,h,eval,q,algo,domain,cov
ipc2014,ff1,lazy,FIFO,hw,visitall,0
ipc2014,ff1,lazy,FIFO,hw,transport,0
ipc2014,ff1,lazy,FIFO,hw,thoughtful,7
ipc2014,ff1,lazy,FIFO,hw,tetris,8
ipc2014,ff1,lazy,FIFO,hw,parking,2
ipc2014,ff1,lazy,FIFO,hw,openstacks,20
ipc2014,ff1,lazy,FIFO,hw,maintenance,0
ipc2014,ff1,lazy,FIFO,hw,hiking,20
ipc2014,ff1,lazy,FIFO,hw,ged,20
ipc2014,ff1,lazy,FIFO,hw,floortile,2
ipc2014,ff1,lazy,FIFO,hw,citycar,0
ipc2014,ff1,lazy,FIFO,hw,childsnack,0
ipc2014,ff1,lazy,FIFO,hw,cavediving,6
ipc2014,ff1,lazy,FIFO,hw,barman,0
ipc2014,ff1,lazy,FIFO,hw,visitall,0
ipc2014,ff1,lazy,FIFO,hw,transport,0
ipc2014,ff1,lazy,FIFO,hw,thoughtful,7
ipc2014,ff1,lazy,FIFO,hw,tetris,8
ipc2014,ff1,lazy,FIFO,hw,parking,2
ipc2014,ff1,lazy,FIFO,hw,openstacks,20
ipc2014,ff1,lazy,FIFO,hw,maintenance,0
ipc2014,ff1,lazy,FIFO,hw,hiking,20
ipc2014,ff1,lazy,FIFO,hw,ged,20
ipc2014,ff1,lazy,FIFO,hw,floortile,2
ipc2014,ff1,lazy,FIFO,hw,citycar,0
ipc2014,ff1,lazy,FIFO,hw,childsnack,0
ipc2014,ff1,lazy,FIFO,hw,cavediving,6
ipc2014,ff1,lazy,FIFO,hw,barman,0
ipc2014,ff1,lazy,FIFO,hw,visitall,0
ipc2014,ff1,lazy,FIFO,hw,transport,0
ipc2014,ff1,lazy,FIFO,hw,thoughtful,7
ipc2014,ff1,lazy,FIFO,hw,tetris,8
ipc2014,ff1,lazy,FIFO,hw,parking,2
ipc2014,ff1,lazy,FIFO,hw,openstacks,20
ipc2014,ff1,lazy,FIFO,hw,maintenance,0
ipc2014,ff1,lazy,FIFO,hw,hiking,20
ipc2014,ff1,lazy,FIFO,hw,ged,20
ipc2014,ff1,lazy,FIFO,hw,floortile,2
ipc2014,ff1,lazy,FIFO,hw,citycar,0
ipc2014,ff1,lazy,FIFO,hw,childsnack,0
ipc2014,ff1,lazy,FIFO,hw,cavediving,6
ipc2014,ff1,lazy,FIFO,hw,barman,0
ipc2014,ff1,lazy,FIFO,hw,visitall,0
ipc2014,ff1,lazy,FIFO,hw,transport,0
ipc2014,ff1,lazy,FIFO,hw,thoughtful,7
ipc2014,ff1,lazy,FIFO,hw,tetris,8
